x,y,dx_pix,dy_pix,u_kmh,v_kmh,speed_kmh,corr,corr_margin,height_km,qc_basic,qc_consistency,qc_final,du_error_kmh,dv_error_kmh,vector_error_kmh,u_true_kmh,v_true_kmh
102.0,38.0,3.0896303756900227,0.7597944002731614,74.15112901656055,-18.235065606555874,76.36037946544009,0.9918724870695428,0.006816353219767812,4.29207365481317,False,False,False,1.5222410608215142,2.6418173070560833,3.049002546917937,72.62888795573903,-20.876882913611958
118.0,38.0,3.1669241513158397,0.5890507848638548,76.00617963158015,-14.137218836732515,77.30976845538792,0.9931925182753613,0.0027533899850744614,5.1475801629565225,False,False,False,-0.4853127466844853,1.2292039601878422,1.3215410844298083,76.49149237826464,-15.366422796920357
134.0,38.0,2.458796762810962,0.5364199503246088,59.01112230746309,-12.87407880779061,60.399126327585,0.9876548199584976,0.0007355981043001281,3.8614208738055495,False,False,False,-16.766397829290007,-4.052596500612564,17.24922127421403,75.7775201367531,-8.821482307178046
150.0,38.0,2.659878500695676,0.26097215921488043,63.837084016696224,-6.263331821157131,64.14360935632367,0.9644710941488059,0.01590089110114301,2.911209614613548,True,True,True,-5.525110805220322,-2.638127047470249,6.122627191700998,69.36219482191655,-3.6252047736868818
166.0,38.0,2.9553619084118203,-0.054682256763097174,70.92868580188369,1.3123741623143323,70.94082601382823,0.9741159522450519,0.037894670975631484,3.448359037021456,True,True,True,3.248781222826537,-1.6859353589308186,3.66018544178891,67.67990457905715,2.998309521245151
22.0,54.0,5.902267102920439,-1.3003577267482744,141.65441047009057,31.208585441958586,145.0515350174445,0.9938491363572876,0.004212629654087419,11.839174307323539,False,False,False,-3.524632260631023,-9.978218094242262,10.582432088558123,145.1790427307216,41.18680353620085
38.0,54.0,5.191534951746468,-0.7023441269814266,124.59683884191524,16.85625904755424,125.73188027893504,0.990202597950348,0.004738227483892743,11.835953763672821,False,False,False,-15.444273772124589,-14.986868088464014,21.520497379227937,140.04111261403983,31.843127136018254
54.0,54.0,3.786726548073594,-0.29830518366232744,90.88143715376626,7.159324407895859,91.16299438429752,0.9967120936867773,0.000683141371882301,9.838421516264642,False,False,False,-19.896492933448442,-2.4238910094886954,20.043594455003422,110.7779300872147,9.583215417384555
70.0,54.0,2.85039350297888,0.8259126265820087,68.40944407149313,-19.82190303796821,71.22330993584445,0.9954879878982991,0.0031742768371270103,4.612383154620859,False,False,False,-3.2561345468337777,-3.271123341759033,4.615480484639188,71.6655786183269,-16.550779696209176
86.0,54.0,2.6833336144115894,1.0219179681105688,64.40000674587814,-24.52603123465365,68.91216929536,0.9879957799046515,0.006710418952513897,3.18291885924815,False,False,False,-0.054765040332213744,0.07474423767098415,0.09266018944296177,64.45477178621036,-24.600775472324635
102.0,54.0,2.9265620587465957,0.980690596463951,70.2374894099183,-23.536574315134825,74.07614493951645,0.9878574616385447,0.020158284975102747,3.474854807990741,True,True,True,-0.25670100201054424,-1.2825340318846834,1.307971309844218,70.49419041192884,-22.25404028325014
118.0,54.0,2.6817261685965086,0.9230336626409026,64.3614280463162,-22.152807903381664,68.0671750417576,0.9889937857331624,0.006983415444629992,3.032206311162709,False,False,False,0.8938120904915223,-0.20135957747844913,0.9162127114110156,63.467615955824684,-21.951448325903215
134.0,54.0,2.360050582181045,0.7007315704541421,56.64121397234508,-16.817557690899413,59.085170448664265,0.9672931805357732,0.013056288154665863,2.182241686703733,False,False,False,-5.387706945711109,-1.0644433000069249,5.491850842092615,62.02892091805619,-15.753114390892488
150.0,54.0,2.7013217568988757,0.2855357015737483,64.83172216557303,-6.852856837769959,65.19289720355296,0.9743186096958418,0.01047282978976316,2.826006490260756,False,False,False,5.318450607465138,1.838917606423946,5.627391476275866,59.51327155810789,-8.691774444193905
166.0,54.0,3.231167450838625,-0.2204641568421618,77.54801882012701,5.291139764211883,77.72831776727963,0.984277452389837,0.010857750245424125,3.641264526321287,False,False,False,8.978476348636036,2.223566317009955,9.249718088091004,68.56954247149098,3.0675734472019283
22.0,70.0,4.838731277670126,-0.7791156939121231,116.12955066408303,18.698776653890956,117.62532374363066,0.9965882968612104,0.0006515242807463295,9.530486327177195,False,False,False,23.480875000613025,0.22628760865090314,23.48196535378252,92.64867566347,18.472489045240053
38.0,70.0,4.036762689746457,-0.9401817249502953,96.88230455391496,22.564361398807087,99.47528004993757,0.9953290031410027,0.0021940886046587504,10.205211573044359,False,False,False,-16.06426019038925,1.2705917462419833,16.11443014351246,112.94656474430421,21.293769652565103
54.0,70.0,3.5242730721896214,0.16230212465871316,84.58255373255092,-3.895250991809116,84.67219954748461,0.9954391430772629,0.00017088244175644807,7.9557691766854814,False,False,False,2.9734522206812812,-1.937061631753386,3.5487499029778826,81.60910151186964,-1.95818936005573
70.0,70.0,2.6336860319584994,0.8174641411105117,63.20846476700399,-19.619139386652282,66.18323540349532,0.9893129001083509,0.002450397323863429,3.438994363610973,False,False,False,2.847660887343494,-0.07063283489260996,2.8485367343025265,60.360803879660494,-19.548506551759672
